HTTrack3.49-2 launched on Sat, 16 Jul 2022 19:36:21 at http://www.htmlbible.com/
(/usr/bin/httrack -iC1 -r6 http://www.htmlbible.com/ )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/kjvstrongs/B19C138.htm (from www.htmlbible.com/sacrednamebiblecom/kjvstrongs/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/kjvstrongs/B21C002.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/kjvstrongs/B21C002.htm (from www.htmlbible.com/sacrednamebiblecom/kjvstrongs/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/kjvstrongs/B21C005.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/kjvstrongs/B21C005.htm (from www.htmlbible.com/sacrednamebiblecom/kjvstrongs/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/kjvstrongs/hbeyth.gif
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/kjvstrongs/hbeyth.gif (from www.htmlbible.com/sacrednamebiblecom/kjvstrongs/STRINDEX.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/kjvstrongs/STRHEB25.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/kjvstrongs/STRHEB25.htm (from www.htmlbible.com/sacrednamebiblecom/kjvstrongs/STRINDEX.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/kjvstrongs/CONHEB369.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/kjvstrongs/CONHEB369.htm (from www.htmlbible.com/sacrednamebiblecom/kjvstrongs/CONINDEX.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/kjvstrongs/CONHEB482.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/kjvstrongs/CONHEB482.htm (from www.htmlbible.com/sacrednamebiblecom/kjvstrongs/CONINDEX.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/kjvstrongs/CONGRK298.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/kjvstrongs/CONGRK298.htm (from www.htmlbible.com/sacrednamebiblecom/kjvstrongs/CONINDEX.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/B01C037.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/B01C037.htm (from www.htmlbible.com/sacrednamebiblecom/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/B13C018.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/B13C018.htm (from www.htmlbible.com/sacrednamebiblecom/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/B40C004.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/B40C004.htm (from www.htmlbible.com/sacrednamebiblecom/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/albanian/B41C004.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/albanian/B41C004.htm (from www.htmlbible.com/sacrednamebiblecom/albanian/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/asv/B07C012.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/asv/B07C012.htm (from www.htmlbible.com/asv/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/asv/B09C015.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/asv/B09C015.htm (from www.htmlbible.com/asv/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/asv/B26C001.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/asv/B26C001.htm (from www.htmlbible.com/asv/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/asv/B26C039.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/asv/B26C039.htm (from www.htmlbible.com/asv/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/cebuano/B05C025.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/cebuano/B05C025.htm (from www.htmlbible.com/sacrednamebiblecom/cebuano/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/cebuano/B24C019.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/cebuano/B24C019.htm (from www.htmlbible.com/sacrednamebiblecom/cebuano/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/cebuano/B24C025.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/cebuano/B24C025.htm (from www.htmlbible.com/sacrednamebiblecom/cebuano/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/cebuano/B26C006.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/cebuano/B26C006.htm (from www.htmlbible.com/sacrednamebiblecom/cebuano/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/hungarian/B11C020.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/hungarian/B11C020.htm (from www.htmlbible.com/sacrednamebiblecom/hungarian/index.htm)
